source_group,reference_regime,hardness_axis,conditioning_key,timestep,mean_raw_l2,mean_clean_pair_l2,mean_clean_subject_l2,mean_roundtrip_ratio,n
base_hard_control,hard_control,clutter_background,null,999,0.003129990161078002,0.008407961391797914,0.008407961391797914,4.9549723743835745,320
dreambooth_hard_reference,hard_reference,clutter_background,class,50,0.01834312529527868,-0.021722311037097333,-0.021722311037097333,1.2998220439668742,80
dreambooth_hard_reference,hard_reference,clutter_background,class,200,0.019852545711739156,-0.02044624186979451,-0.02044624186979451,1.1662058957432309,80
dreambooth_hard_reference,hard_reference,clutter_background,class,500,0.011430950628744281,-0.005060853707538421,-0.005060853707538421,1.2468919654432584,80
dreambooth_hard_reference,hard_reference,clutter_background,class,800,0.0004130072792940858,0.0012238806710347257,0.0012238806710347257,2.1936306339424565,80
dreambooth_hard_reference,hard_reference,clutter_background,class,999,-0.003875641629121659,1.006989987060363e-05,1.006989987060363e-05,1.9131961264432658,80
dreambooth_hard_reference,hard_reference,clutter_background,class_context,50,0.018296232037253782,-0.021685861004911402,-0.021685861004911402,1.2989536774830623,80
dreambooth_hard_reference,hard_reference,clutter_background,class_context,200,0.019826695582136292,-0.020446207816570056,-0.020446207816570056,1.170409581942998,80
dreambooth_hard_reference,hard_reference,clutter_background,class_context,500,0.01164810364077672,-0.004925074006828721,-0.004925074006828721,3.768109645269157,80
dreambooth_hard_reference,hard_reference,clutter_background,class_context,800,7.465776997583198e-05,0.001178630483361522,0.001178630483361522,3.9846974048070143,80
dreambooth_hard_reference,hard_reference,clutter_background,class_context,999,-0.004504415871624864,1.3813895301737097e-06,1.3813895301737097e-06,1.0439539693032804,80
dreambooth_hard_reference,hard_reference,clutter_background,null,50,0.017377534623004783,-0.021692438907121542,-0.021692438907121542,1.3379519649854852,80
dreambooth_hard_reference,hard_reference,clutter_background,null,200,0.01832861922533914,-0.02045954641929668,-0.02045954641929668,1.1351373722174567,80
dreambooth_hard_reference,hard_reference,clutter_background,null,500,0.010245573895612686,-0.005360307251491743,-0.005360307251491743,3.005261785417568,80
dreambooth_hard_reference,hard_reference,clutter_background,null,800,-0.0017177236771708949,0.0008092599238156102,0.0008092599238156102,1.3277988801424057,80
dreambooth_hard_reference,hard_reference,clutter_background,null,999,-0.005235284848161116,4.268638255879445e-05,4.268638255879445e-05,1.1225363294402864,80
dreambooth_hard_reference,hard_reference,color_light,class,50,0.020712785076414084,-0.019352651255961924,-0.019352651255961924,2.5469979508168334,160
dreambooth_hard_reference,hard_reference,color_light,class,200,0.0181332830445808,-0.022165504536952867,-0.022165504536952867,4.985465085572499,160
dreambooth_hard_reference,hard_reference,color_light,class,500,7.641256651498233e-05,-0.01641539176976772,-0.01641539176976772,1.196473846877073,160
dreambooth_hard_reference,hard_reference,color_light,class,800,-0.0075274425469299315,-0.006716569155189292,-0.006716569155189292,2.6401846596045777,160
