subject_id,source_group,reference_regime,conditioning_key,mean_raw_l2,mean_clean_pair_l2,mean_clean_subject_l2,mean_roundtrip_ratio,n
dog7,dreambooth_reference,standard_reference,null,0.004806482654459078,-0.006546645877182774,-0.006546645877182774,0.9431637869011898,50
dog7,vae_roundtrip_control,roundtrip_control,class,0.012476872743751095,0.0,0.0,0.999997185414577,50
dog7,vae_roundtrip_control,roundtrip_control,class_context,0.012202825149338787,0.0,0.0,0.9999977314953648,50
dog7,vae_roundtrip_control,roundtrip_control,null,0.011353128531641853,0.0,0.0,0.9999983985826087,50
fancy_boot,base_easy_control,easy_control,class,-0.016747931790760923,0.003916511415209562,0.003916511415209562,6.261880979772359,200
fancy_boot,base_easy_control,easy_control,class_context,-0.016945738286463494,0.004092042475460822,0.004092042475460822,8.130293560285349,200
fancy_boot,base_easy_control,easy_control,null,-0.01653219127091761,0.004922500394397658,0.004922500394397658,6.957785792789789,200
fancy_boot,base_hard_control,hard_control,class,-0.051151756901946524,-0.030487313695976043,-0.030487313695976043,4.263058510043804,200
fancy_boot,base_hard_control,hard_control,class_context,-0.051519794575558595,-0.03048201381363428,-0.03048201381363428,7.8360726733731205,200
fancy_boot,base_hard_control,hard_control,null,-0.05136733883816917,-0.029912647172853902,-0.029912647172853902,3.1531795723391944,200
fancy_boot,dreambooth_hard_reference,hard_reference,class,-0.03355596116578694,-0.012891517959816455,-0.012891517959816455,0.741405376018241,300
fancy_boot,dreambooth_hard_reference,hard_reference,class_context,-0.03402851480897316,-0.012990734047048848,-0.012990734047048848,0.7371725570248929,300
fancy_boot,dreambooth_hard_reference,hard_reference,null,-0.03454596899723192,-0.01309127733191665,-0.01309127733191665,0.7305718692362948,300
fancy_boot,dreambooth_reference,standard_reference,class,-0.027708742706102848,-0.007044299500132364,-0.007044299500132364,0.7292041955380568,50
fancy_boot,dreambooth_reference,standard_reference,class_context,-0.028071362812246113,-0.0070335820503218014,-0.0070335820503218014,0.7357227146984938,50
fancy_boot,dreambooth_reference,standard_reference,null,-0.028567168241249486,-0.00711247657593422,-0.00711247657593422,0.7351299646414808,50
fancy_boot,vae_roundtrip_control,roundtrip_control,class,-0.020664443205970485,0.0,0.0,0.999999231715328,50
fancy_boot,vae_roundtrip_control,roundtrip_control,class_context,-0.021037780761924318,0.0,0.0,0.9999992854825139,50
fancy_boot,vae_roundtrip_control,roundtrip_control,null,-0.02145469166531527,0.0,0.0,0.9999992879318005,50
shiny_sneaker,base_easy_control,easy_control,class,0.0026072256585977526,-0.07837807170289197,-0.07837807170289197,21.57942714635572,200
shiny_sneaker,base_easy_control,easy_control,class_context,0.0024838474511214804,-0.07827665592017433,-0.07827665592017433,25.685805502485028,200
shiny_sneaker,base_easy_control,easy_control,null,0.0027418016385032835,-0.07723214186748588,-0.07723214186748588,24.29729708386775,200
shiny_sneaker,base_hard_control,hard_control,class,0.03109650407886881,-0.04988879328262092,-0.04988879328262092,2.4484009367284676,200
shiny_sneaker,base_hard_control,hard_control,class_context,0.030817221465518196,-0.04994328190577761,-0.04994328190577761,2.523978689900993,200
shiny_sneaker,base_hard_control,hard_control,null,0.030521746528335475,-0.04945219697765368,-0.04945219697765368,2.5906809734230847,200
shiny_sneaker,dreambooth_hard_reference,hard_reference,class,0.06387367367302405,-0.01711162368846569,-0.01711162368846569,1.9089442032972896,300
shiny_sneaker,dreambooth_hard_reference,hard_reference,class_context,0.06357802671031618,-0.017182476660979638,-0.017182476660979638,1.7506290861801346,300
shiny_sneaker,dreambooth_hard_reference,hard_reference,null,0.06290565126229501,-0.017068292243694147,-0.017068292243694147,1.9465441300458926,300
shiny_sneaker,dreambooth_reference,standard_reference,class,0.07143423865987968,-0.009551058701610054,-0.009551058701610054,1.266781813283081,50
shiny_sneaker,dreambooth_reference,standard_reference,class_context,0.07123166044360342,-0.009528842927692387,-0.009528842927692387,1.2100216379426305,50
shiny_sneaker,dreambooth_reference,standard_reference,null,0.07048849969467184,-0.009485443811317313,-0.009485443811317313,1.238989840080655,50
shiny_sneaker,vae_roundtrip_control,roundtrip_control,class,0.08098529736148974,0.0,0.0,0.9999968185352252,50
shiny_sneaker,vae_roundtrip_control,roundtrip_control,class_context,0.08076050337129581,0.0,0.0,0.9999734421033613,50
shiny_sneaker,vae_roundtrip_control,roundtrip_control,null,0.07997394350598916,0.0,0.0,0.999998236881689,50
vase,base_easy_control,easy_control,class,-0.006460900914248671,0.02735978398635922,0.02735978398635922,34.04662944033251,200
vase,base_easy_control,easy_control,class_context,-0.006536375762512362,0.02741259419886147,0.02741259419886147,41.249002047225915,200
vase,base_easy_control,easy_control,null,-0.006645581771048228,0.02780968546861224,0.02780968546861224,111.14741250197768,200
vase,base_hard_control,hard_control,class,0.011300243428349075,0.045120928328956963,0.045120928328956963,1.8893435094605036,200
