subject_id,conditioning_key,raw_easy_control,raw_hard_control,raw_hard_reference,raw_roundtrip_control,raw_standard_reference,clean_easy_control,clean_hard_control,clean_hard_reference,clean_roundtrip_control,clean_standard_reference,ratio_easy_control,ratio_hard_control,ratio_hard_reference,ratio_roundtrip_control,ratio_standard_reference,raw_standard_minus_easy,raw_hard_minus_standard,clean_hard_minus_standard
dog,class_context,-0.005269462376447824,-0.01823164700879026,-0.0159058695865052,0.002841474194326536,-0.002919101899789554,-0.00811093657077436,-0.021073121203116794,-0.01874734378083174,0.0,-0.00576057609411609,22.09482390493971,5.073659514180677,2.1703498279987925,0.9999992307501033,1.8535596730343633,0.0023503604766582703,-0.012986767686715648,-0.01298676768671565
dog,null,-0.0042787700022276125,-0.01896128818745861,-0.017249480376664753,0.0018328566371237781,-0.004016481923467356,-0.006111626639351391,-0.02079414482458239,-0.01908233701378853,0.0,-0.005849338560591134,19.132697047186227,2.6046537031357735,6.424703975986669,0.9999991951575967,15.266682899117688,0.0002622880787602564,-0.013232998453197396,-0.013232998453197396
dog7,class,-0.00521012783643795,-0.0028525947970544645,-0.008345657223777997,0.012476872743751095,0.00592319233169145,-0.017687000580189044,-0.01532946754080556,-0.02082252996752909,0.0,-0.0065536804120596434,81.7306197306111,2.2804651898098305,4.511061925933265,0.999997185414577,0.9158133229404518,0.011133320168129401,-0.014268849555469448,-0.014268849555469448
dog7,class_context,-0.005241480616203978,-0.0029090063034281828,-0.008594755699601128,0.012202825149338787,0.005638595382364986,-0.01744430576554277,-0.01511183145276697,-0.020797580848939918,0.0,-0.006564229766973802,89.54039890916229,5.245330786263597,5.125377411453163,0.9999977314953648,0.9219779653858271,0.010880075998568963,-0.014233351081966113,-0.014233351081966116
dog7,null,-0.004278850046616362,-0.0026983403441901803,-0.009631922307929848,0.011353128531641853,0.004806482654459078,-0.015631978578258213,-0.014051468875832031,-0.0209850508395717,0.0,-0.006546645877182774,18.741383641530273,3.646396680054297,4.220378368453383,0.9999983985826087,0.9431637869011898,0.009085332701075439,-0.014438404962388926,-0.014438404962388924
fancy_boot,class,-0.016747931790760923,-0.051151756901946524,-0.03355596116578694,-0.020664443205970485,-0.027708742706102848,0.003916511415209562,-0.030487313695976043,-0.012891517959816455,0.0,-0.007044299500132364,6.261880979772359,4.263058510043804,0.741405376018241,0.999999231715328,0.7292041955380568,-0.010960810915341925,-0.005847218459684094,-0.0058472184596840915
fancy_boot,class_context,-0.016945738286463494,-0.051519794575558595,-0.03402851480897316,-0.021037780761924318,-0.028071362812246113,0.004092042475460822,-0.03048201381363428,-0.012990734047048848,0.0,-0.0070335820503218014,8.130293560285349,7.8360726733731205,0.7371725570248929,0.9999992854825139,0.7357227146984938,-0.01112562452578262,-0.005957151996727049,-0.005957151996727046
fancy_boot,null,-0.01653219127091761,-0.05136733883816917,-0.03454596899723192,-0.02145469166531527,-0.028567168241249486,0.004922500394397658,-0.029912647172853902,-0.01309127733191665,0.0,-0.00711247657593422,6.957785792789789,3.1531795723391944,0.7305718692362948,0.9999992879318005,0.7351299646414808,-0.012034976970331877,-0.005978800755982432,-0.0059788007559824306
shiny_sneaker,class,0.0026072256585977526,0.03109650407886881,0.06387367367302405,0.08098529736148974,0.07143423865987968,-0.07837807170289197,-0.04988879328262092,-0.01711162368846569,0.0,-0.009551058701610054,21.57942714635572,2.4484009367284676,1.9089442032972896,0.9999968185352252,1.266781813283081,0.06882701300128193,-0.007560564986855631,-0.007560564986855636
shiny_sneaker,class_context,0.0024838474511214804,0.030817221465518196,0.06357802671031618,0.08076050337129581,0.07123166044360342,-0.07827665592017433,-0.04994328190577761,-0.017182476660979638,0.0,-0.009528842927692387,25.685805502485028,2.523978689900993,1.7506290861801346,0.9999734421033613,1.2100216379426305,0.06874781299248194,-0.007653633733287243,-0.00765363373328725
