source_group,conditioning_key,timestep,mean_clean_norm,mean_raw_norm,mean_artifact_fraction,mean_dct_clean_low,mean_dct_clean_mid,mean_dct_clean_high,mean_dct_artifact_low,mean_dct_artifact_mid,mean_dct_artifact_high,n
dreambooth_reference,class_context,999,0.015107340281249892,0.0510350161231808,0.8398876520528117,0.005811451968696159,0.0005018846437948893,0.00026592748047676374,0.030874519982333225,0.0019422638820641982,0.0008273290830747228,25
dreambooth_reference,null,50,0.23814433767759285,0.7038950067994587,0.8937418673804501,0.08758467990510688,0.09231890562275376,0.09092753909329616,0.5525360850247584,0.4305582077559933,0.3944825916443472,25
dreambooth_reference,null,200,0.17590641143512767,0.5038263199713419,0.8501771049852789,0.08318261649960387,0.05885742801431096,0.05646395795492067,0.35788638266819317,0.2147593426775489,0.1868548897549468,25
dreambooth_reference,null,500,0.0943321501040841,0.2789137449224122,0.8176400950522422,0.053819723538504866,0.018585780243837228,0.016111257619995115,0.2108521394790785,0.07156129072380805,0.05012244920543072,25
dreambooth_reference,null,800,0.03837535476856273,0.12048064347148328,0.8188058722917936,0.02343479022539224,0.0033950633962367,0.00203669600694016,0.10232010559911836,0.01366556661405894,0.006497196504436108,25
dreambooth_reference,null,999,0.015210757265628457,0.05073638009707167,0.838163661851222,0.006105332052246753,0.0005026291031560022,0.0002659199945996256,0.029733387325630658,0.0019389743368517242,0.0008265618034450918,25
ordinary_real_control,class,50,0.16129883706073606,0.7217712523791026,0.9737340425782591,0.027879914714415137,0.026256748636124306,0.026180482114536767,0.6081804340878131,0.48913173546993355,0.4974675997992334,20
ordinary_real_control,class,200,0.10708985737026726,0.5362994670038149,0.979105914163742,0.01648976734774768,0.012057472347868681,0.011123492544029825,0.39534843473403686,0.2668364981589854,0.27908114110955873,20
ordinary_real_control,class,500,0.05627466627569936,0.31006155754768383,0.9829175543234248,0.00559509372382369,0.003503213767265085,0.0029521572128860347,0.24808252620044774,0.09545263795779449,0.08650433041203832,20
ordinary_real_control,class,800,0.023182975887272243,0.1271896965466274,0.9823836124099268,0.001949950419824775,0.00075453790012471,0.00041830140160752994,0.12249106869607822,0.015261294203862718,0.01094151094092421,20
ordinary_real_control,class,999,0.00879703117896281,0.05249775759238991,0.9851298816260838,0.00031836636451994,0.00012401440147270885,5.526136118327327e-05,0.035536332935652656,0.0020348239632587447,0.001388436323488,20
