experiment_label,class_name,conditioning_key,source_group,timestep,mean_clean_norm,mean_raw_norm,mean_artifact_fraction,mean_dct_clean_low,mean_dct_clean_mid,mean_dct_clean_high,n
stage15a_class,dog,class,base_generated_control,999,0.007104084334817689,0.056558350826964685,0.9917185137992431,0.0002021050357199775,5.7399711989124224e-05,4.1262604549886116e-05,40
stage15a_class,dog,class,dreambooth_reference,50,0.1412325817866749,0.7084379464150479,0.9797283775482903,0.022801805187735648,0.02062366932044616,0.01967523113150799,25
stage15a_class,dog,class,dreambooth_reference,200,0.09268312228604993,0.5022740685420392,0.9827226168175716,0.014278873796365348,0.0096415190850325,0.00800422748219064,25
stage15a_class,dog,class,dreambooth_reference,500,0.04706576823017868,0.271060662578711,0.9847823990576624,0.005040583244860948,0.00261790591065704,0.001959405130707996,25
stage15a_class,dog,class,dreambooth_reference,800,0.018807965897319926,0.11562815923146158,0.9865495221214432,0.00137030275452102,0.000449459405551096,0.000279986141506496,25
stage15a_class,dog,class,dreambooth_reference,999,0.007033250155922341,0.04928439454374134,0.989544621693787,0.000212508744782796,6.964923618084608e-05,3.619408022944936e-05,25
stage15a_class,dog,class,ordinary_real_control,50,0.1564992975033222,0.7487316361222675,0.977275046991917,0.021415326628470774,0.024773334060100304,0.024765655774672317,20
stage15a_class,dog,class,ordinary_real_control,200,0.10704490206128084,0.5627640837476849,0.9813576433656165,0.013628497834391526,0.012192093466463496,0.01116518004815992,20
stage15a_class,dog,class,ordinary_real_control,500,0.05937969997629983,0.31953180489279537,0.9819195568178298,0.0058120575173010195,0.0039533309392561404,0.003322011406085395,20
stage15a_class,dog,class,ordinary_real_control,800,0.02326343325217862,0.13324074054203955,0.9840734658895285,0.0011916318015723249,0.000680838040308695,0.00048237420463428504,20
stage15a_class,dog,class,ordinary_real_control,999,0.008489638907119745,0.053865470211551504,0.9870171251846284,0.00021471965828587003,9.05851497671774e-05,6.148389047648962e-05,20
stage15a_class,vase,class,base_generated_control,50,0.12407411550646494,0.6828760427128825,0.9831769260472178,0.013931513911128346,0.015443082251694207,0.015814611546635028,20
stage15a_class,vase,class,base_generated_control,200,0.0863791667351392,0.4766221790078694,0.9829639522695179,0.00859660137235233,0.007901786851890599,0.0074000664370648395,20
stage15a_class,vase,class,base_generated_control,500,0.04491463099919411,0.24222185441804508,0.9802254410735838,0.003683994471095465,0.00235965840189269,0.0018643046271636348,20
stage15a_class,vase,class,base_generated_control,800,0.01751868937393389,0.1050868440559927,0.9850018170685191,0.000895229684532375,0.000374835219222,0.000259180799436915,20
stage15a_class,vase,class,base_generated_control,999,0.00663428661281421,0.04721775739282223,0.9897527804762642,0.00019574405386988498,5.136865291412873e-05,3.4689047406386846e-05,20
stage15a_class,vase,class,dreambooth_reference,50,0.16311429612485256,0.5990437966548121,0.9601319573836735,0.042127509327625184,0.027997855506855924,0.02571864918732926,30
stage15a_class,vase,class,dreambooth_reference,200,0.10263515981740837,0.3952929223135842,0.9632716347357051,0.023296554139275807,0.011406121102272675,0.009744504283551494,30
stage15a_class,vase,class,dreambooth_reference,500,0.049043466039766254,0.20870185495099147,0.9687805933596849,0.0074842266393839035,0.0026112496724895067,0.0021197806177562003,30
stage15a_class,vase,class,dreambooth_reference,800,0.018629240815254744,0.09729471047044087,0.9795457885624296,0.001767968820231,0.0003914388114434567,0.0002713575179324967,30
stage15a_class,vase,class,dreambooth_reference,999,0.0069241211028286806,0.04487711198089125,0.9871674306253447,0.00032350006640406666,5.07133258765347e-05,3.474923133846234e-05,30
stage15a_class,vase,class,ordinary_real_control,50,0.16050268022957984,0.7260170205912277,0.9748156226945873,0.02171980686322998,0.024490051382835575,0.02668501585259577,20
stage15a_class,vase,class,ordinary_real_control,200,0.10803934481595934,0.5520704574687235,0.9801343191475477,0.012564270249005648,0.011878085758354551,0.011693054798789605,20
stage15a_class,vase,class,ordinary_real_control,500,0.058617436330821546,0.32285932983052235,0.9829251013339764,0.004444285893927915,0.00339610950854534,0.003469009437939885,20
stage15a_class,vase,class,ordinary_real_control,800,0.023251622703801125,0.13113993291799217,0.9836537280284918,0.0009227048164918249,0.0005048403835519,0.0005551991495212,20
stage15a_class,vase,class,ordinary_real_control,999,0.00844408036254554,0.05261733969602524,0.9867357888595544,0.00015750362646394463,6.690859677034908e-05,7.138792142914735e-05,20
