experiment_label,class_name,conditioning_key,source_group,timestep,mean_clean_norm,mean_raw_norm,mean_artifact_fraction,mean_dct_clean_low,mean_dct_clean_mid,mean_dct_clean_high,n
stage15b_prompt_matched,cat,prompt_matched,base_generated_control,500,0.04874211704102982,0.25991801552908017,0.979480737090109,0.004973579799945613,0.00260019906500439,0.002209543164723705,40
stage15b_prompt_matched,cat,prompt_matched,base_generated_control,800,0.01954860787897985,0.12171438609115011,0.9861737516733177,0.00123769482496282,0.000417939030191615,0.0003340079453136025,40
stage15b_prompt_matched,cat,prompt_matched,base_generated_control,999,0.00734657192428103,0.055861859833707686,0.9910252078032382,0.00024772644690808,5.6783958699557344e-05,4.458755330028268e-05,40
stage15b_prompt_matched,cat,prompt_matched,ordinary_real_control,50,0.1627859068985721,0.6835456051301939,0.9709973426626652,0.026462673836131906,0.027353782129284042,0.026491105114874403,20
stage15b_prompt_matched,cat,prompt_matched,ordinary_real_control,200,0.10496271750204747,0.491951216925822,0.9768741968022094,0.015186233649381495,0.011737468660748115,0.010699612209146305,20
stage15b_prompt_matched,cat,prompt_matched,ordinary_real_control,500,0.05464966930666796,0.286147456184951,0.9815031578384245,0.006391794112905165,0.0033519389301114298,0.002723005103563145,20
stage15b_prompt_matched,cat,prompt_matched,ordinary_real_control,800,0.02078501113280746,0.12318792777639051,0.9854508367495731,0.0014825980892283351,0.0005132131134371,0.00035670980586327,20
stage15b_prompt_matched,cat,prompt_matched,ordinary_real_control,999,0.00769118046586941,0.053140015782406125,0.9892523874014086,0.000287328617684285,6.827949137212653e-05,4.559456561543415e-05,20
stage15b_prompt_matched,dog,prompt_matched,base_generated_control,50,0.1296621123715041,0.6798250426930756,0.9810425850347011,0.01772811352115799,0.017609928038407656,0.016835002637809487,40
stage15b_prompt_matched,dog,prompt_matched,base_generated_control,200,0.08938974276048331,0.4843263623305062,0.9815250237380374,0.011194102100141302,0.008910110892906564,0.007650202395164618,40
stage15b_prompt_matched,dog,prompt_matched,base_generated_control,500,0.04657894464566577,0.2672823477436697,0.9820901988366751,0.004498611896370937,0.0024660061280817025,0.00198429800411444,40
stage15b_prompt_matched,dog,prompt_matched,base_generated_control,800,0.01822740274252204,0.12532776782212013,0.988505805785603,0.001093285703136655,0.0003651434208848325,0.000287379584356295,40
stage15b_prompt_matched,dog,prompt_matched,base_generated_control,999,0.006830699895902233,0.056192796903922836,0.9922993870284248,0.00022620088799193,4.830860280571988e-05,3.802488601009538e-05,40
stage15b_prompt_matched,dog,prompt_matched,ordinary_real_control,50,0.15662404182581363,0.7487479379533911,0.9772413697594932,0.02135997376386187,0.024805800960333666,0.024810908401431388,20
stage15b_prompt_matched,dog,prompt_matched,ordinary_real_control,200,0.10702195458707808,0.5627674171416057,0.9813678514855437,0.01355597339469176,0.012182417906284704,0.011164606242801654,20
stage15b_prompt_matched,dog,prompt_matched,ordinary_real_control,500,0.05924780276031918,0.3199273487406792,0.9820800488537902,0.00584630192701394,0.003919694197587755,0.0033076887205456852,20
stage15b_prompt_matched,dog,prompt_matched,ordinary_real_control,800,0.02327204485130136,0.13253480963428108,0.9838418554791206,0.001149113483172955,0.000691550265077395,0.00048202229644089,20
stage15b_prompt_matched,dog,prompt_matched,ordinary_real_control,999,0.008505393902925646,0.05333735292312506,0.9866916986271841,0.00022398822072177497,9.061672742389471e-05,6.139925718720284e-05,20
stage15b_prompt_matched,vase,prompt_matched,base_generated_control,50,0.12562773819894626,0.717979388603488,0.9842697110854305,0.014177199262288215,0.015812064027289872,0.016157185247094495,40
stage15b_prompt_matched,vase,prompt_matched,base_generated_control,200,0.08847878335818943,0.5272285522909276,0.984872817148252,0.009398753527736826,0.008329128181134116,0.007704964238908697,40
stage15b_prompt_matched,vase,prompt_matched,base_generated_control,500,0.04672954584863786,0.2900716739797848,0.9841575175628801,0.003917638928994887,0.002386914289000045,0.002068410512841595,40
stage15b_prompt_matched,vase,prompt_matched,base_generated_control,800,0.018367371315296137,0.13166067967212342,0.9894941085034228,0.0008958303333941025,0.0003671059025709525,0.00030371514572772,40
stage15b_prompt_matched,vase,prompt_matched,base_generated_control,999,0.0068192246398310705,0.056086834459190646,0.9923483103240323,0.00017833061568808998,4.896732778489551e-05,3.984614736300732e-05,40
stage15b_prompt_matched,vase,prompt_matched,ordinary_real_control,50,0.16069308028294146,0.7260172756322552,0.9747570753525163,0.02164664895962236,0.02453913506557934,0.026755115467461538,20
stage15b_prompt_matched,vase,prompt_matched,ordinary_real_control,200,0.10798180228350554,0.5520918865394289,0.980159128444219,0.0125082174095902,0.011855120047114486,0.011684110318461605,20
stage15b_prompt_matched,vase,prompt_matched,ordinary_real_control,500,0.05850194025288502,0.3227885867153166,0.9829845743749461,0.004316556098641725,0.003381685939225535,0.003459579034054915,20
stage15b_prompt_matched,vase,prompt_matched,ordinary_real_control,800,0.023175886520387514,0.1303497488491993,0.9835823847068876,0.0008899169840981399,0.00050267149669846,0.00055249836738831,20
stage15b_prompt_matched,vase,prompt_matched,ordinary_real_control,999,0.008441536497393,0.052339983342191664,0.9866702658286686,0.00015771969165874938,6.686093014617772e-05,7.133433203707061e-05,20
