experiment_label,class_name,conditioning_key,timestep,frequency_band,base_generated_control,dreambooth_reference,ordinary_real_control,natural_hard_reference,real_domain_gap,subject_specific_gap,natural_hard_gap
stage15a_class,vase,class,999,mid,5.136865291412873e-05,5.07133258765347e-05,6.690859677034908e-05,,1.5539943856220356e-05,-1.6195270893814382e-05,
stage15a_class,backpack,class,999,high,3.871678611423053e-05,4.096178783332541e-05,5.848377411623409e-05,,1.976698800200356e-05,-1.752198628290868e-05,
stage15a_class,dog,class,999,mid,5.7399711989124224e-05,6.964923618084608e-05,9.05851497671774e-05,,3.318543777805317e-05,-2.0935913586331317e-05,
stage15a_class,dog,class,999,high,4.1262604549886116e-05,3.619408022944936e-05,6.148389047648962e-05,,2.02212859266035e-05,-2.528981024704026e-05,
stage15a_class,vase,class,999,high,3.4689047406386846e-05,3.474923133846234e-05,7.138792142914735e-05,,3.6698874022760505e-05,-3.663869009068501e-05,
stage15a_class,cat,class,800,high,0.00029347680027727,0.00029183476339602,0.000357313736825405,,6.3836936548135e-05,-6.5478973429385e-05,
stage15a_class,backpack,class,500,low,0.00373854376192148,0.004821691892830364,0.004920925182866605,,0.0011823814209451253,-9.923329003624134e-05,
stage15a_class,vase,class,800,mid,0.000374835219222,0.0003914388114434567,0.0005048403835519,,0.0001300051643299,-0.00011340157210844331,
stage15a_class,backpack,class,800,high,0.00029261027082764997,0.00031905765649169003,0.0004592641251883,,0.00016665385436065005,-0.00014020646869660998,
stage15a_class,dog,class,800,high,0.0003114859843897575,0.000279986141506496,0.00048237420463428504,,0.00017088822024452754,-0.00020238806312778903,
stage15a_class,dog,class,800,mid,0.000419211882177095,0.000449459405551096,0.000680838040308695,,0.0002616261581316,-0.000231378634757599,
stage15a_class,vase,class,800,high,0.000259180799436915,0.0002713575179324967,0.0005551991495212,,0.000296018350084285,-0.00028384163158870333,
stage15a_class,vase,class,200,mid,0.007901786851890599,0.011406121102272675,0.011878085758354551,,0.003976298906463952,-0.0004719646560818764,
stage15a_class,backpack,class,500,mid,0.00226664023245467,0.0026786563412763966,0.003430412698563895,,0.001163772466109225,-0.0007517563572874983,
stage15a_class,dog,class,500,low,0.004588950036886815,0.005040583244860948,0.0058120575173010195,,0.0012231074804142043,-0.0007714742724400717,
stage15a_class,vase,class,500,mid,0.00235965840189269,0.0026112496724895067,0.00339610950854534,,0.0010364511066526501,-0.0007848598360558332,
stage15a_class,vase,class,50,high,0.015814611546635028,0.02571864918732926,0.02668501585259577,,0.010870404305960743,-0.0009663666652665118,
stage15a_class,cat,class,500,high,0.0019730853462451197,0.00180122156053906,0.0028058058961651948,,0.0008327205499200751,-0.0010045843356261347,
stage15a_class,backpack,class,500,high,0.0019013677683642049,0.0022508970669226098,0.00334774233537836,,0.001446374567014155,-0.0010968452684557502,
stage15a_class,cat,class,500,mid,0.002311095647362655,0.002266288970839064,0.003503506293046045,,0.00119241064568339,-0.0012372173222069808,
stage15a_class,dog,class,500,mid,0.0025274337780237773,0.00261790591065704,0.0039533309392561404,,0.0014258971612323632,-0.0013354250285991004,
stage15a_class,vase,class,500,high,0.0018643046271636348,0.0021197806177562003,0.003469009437939885,,0.0016047048107762504,-0.001349228820183685,
stage15a_class,dog,class,500,high,0.0020690763627012375,0.001959405130707996,0.003322011406085395,,0.0012529350433841575,-0.001362606275377399,
stage15a_class,vase,class,200,high,0.0074000664370648395,0.009744504283551494,0.011693054798789605,,0.004292988361724766,-0.0019485505152381111,
stage15a_class,backpack,class,50,low,0.017909038179811314,0.024285330272503174,0.026501308764757557,,0.008592270584946243,-0.0022159784922543835,
stage15a_class,backpack,class,200,low,0.009930679778366616,0.013296455520216814,0.015594499495268116,,0.0056638197169015005,-0.0022980439750513015,
stage15a_class,cat,class,200,low,0.012683171476237676,0.012563327978666921,0.015109473957936525,,0.002426302481698849,-0.0025461459792696043,
stage15a_class,dog,class,200,mid,0.00889314634996288,0.0096415190850325,0.012192093466463496,,0.0032989471165006164,-0.002550574381430996,
stage15a_class,cat,class,200,mid,0.00895606498926311,0.009112365906702231,0.011664215448904319,,0.0027081504596412082,-0.002551849542202087,
stage15a_class,cat,class,500,low,0.005139634780876775,0.0042108387682159845,0.006852088521805929,,0.001712453740929154,-0.002641249753589945,
